from,to,distance_m,duration_s
FI1B+,FI19B,174218.0,7063.0
FI1B+,FI1C-,143436.0,6787.0
FI1B+,FI1C1,144840.0,6541.0
FI1B+,FI1D7,990399.0,41301.0
FI1B+,FI1D8,618260.0,24742.0
FI1B+,FI1D9,648462.0,27901.0
FI1B+,FI1DB,412842.0,16089.0
FI1B+,FI1DC,378890.0,15288.0
FI1B+,FI200,346354.0,28470.0
FI1B+,NO01+,1395721.0,71666.0
FI1B+,NO020,1327887.0,71578.0
FI1B+,NO060,1063784.0,57150.0
FI1B+,NO071,1330505.0,55819.0
FI1B+,NO072,1286851.0,54629.0
FI1B+,NO085,1473989.0,77279.0
FI1B+,NO092,1724591.0,85800.0
FI1B+,NO094,1535355.0,79171.0
FI1B+,NO0A1,1798373.0,94721.0
FI1B+,NO0A2,1624292.0,84830.0
FI1B+,NO0A3,1410313.0,75005.0
FI1B+,SE11+,565373.0,43199.0
FI1B+,SE21+,776802.0,51649.0
FI1B+,SE22+,962518.0,58001.0
FI1B+,SE232,851098.0,54400.0
FI1B+,SE311,1280349.0,65107.0
FI1B+,SE312,1065097.0,57185.0
FI1B+,SE313,905270.0,49129.0
FI1B+,SE321,713477.0,41456.0
FI1B+,SE322,880053.0,48979.0
FI1B+,SE331,687116.0,40416.0
FI1C-,DK02,1339252.0,71973.0
FI1C-,DK03,1496640.0,77236.0
FI1C-,DK04,1553426.0,80011.0
FI1C-,DK050,1688877.0,93397.0
FI1C-,FI19+,347758.0,16535.0
FI1C-,FI196,286391.0,12968.0
FI1C-,FI198,219735.0,10146.0
FI1C-,FI19B,207817.0,10041.0
FI1C-,FI1B+,142489.0,6738.0
FI1C-,FI1C1,254874.0,11546.0
FI1C-,FI1D7,910342.0,38918.0
FI1C-,FI1D8,538203.0,22359.0
FI1C-,FI1D9,568405.0,25518.0
FI1C-,FI1DB,332785.0,13706.0
FI1C-,FI1DC,298833.0,12905.0
FI1C-,FI200,471425.0,33741.0
FI1C-,NO01+,1434901.0,75221.0
FI1C-,NO020,1367067.0,75134.0
FI1C-,NO060,1102964.0,60706.0
FI1C-,NO071,1250448.0,53436.0
FI1C-,NO072,1206793.0,52246.0
FI1C-,NO085,1513169.0,80835.0
FI1C-,NO092,1763771.0,89356.0
FI1C-,NO094,1574535.0,82727.0
FI1C-,NO0A1,1837553.0,98277.0
FI1C-,NO0A2,1663472.0,88386.0
FI1C-,NO0A3,1449493.0,78561.0
FI1C-,SE11+,1180611.0,60969.0
FI1C-,SE21+,901874.0,56920.0
FI1C-,SE22+,1087589.0,63272.0
FI1C-,SE232,1427027.0,71832.0
FI1C-,SE311,1319529.0,68663.0
FI1C-,SE312,1104277.0,60740.0
FI1C-,SE313,944450.0,52685.0
FI1C-,SE321,752657.0,45012.0
FI1C-,SE322,919233.0,52535.0
FI1C-,SE331,726296.0,43972.0
FI1C1,DK02,1070113.0,61692.0
FI1C1,DK03,1227501.0,66955.0
FI1C1,DK04,1284288.0,69731.0
FI1C1,DK050,979337.0,70122.0
FI1C1,FI19+,317935.0,13793.0
FI1C1,FI196,134462.0,6743.0
FI1C1,FI198,328492.0,14091.0
FI1C1,FI19B,186560.0,8344.0
FI1C1,FI1B+,144579.0,6518.0
FI1C1,FI1C-,254771.0,11502.0
FI1C1,FI1D7,1004166.0,43061.0
FI1C1,FI1D8,683909.0,28538.0
FI1C1,FI1D9,690903.0,30047.0
FI1C1,FI1DB,478490.0,19884.0
FI1C1,FI1DC,490225.0,20003.0
FI1C1,FI200,202287.0,23461.0
FI1C1,NO01+,808869.0,54309.0
FI1C1,NO020,1267968.0,70106.0
FI1C1,NO060,1003865.0,55677.0
FI1C1,NO071,1005238.0,55932.0
FI1C1,NO072,1300617.0,56389.0
FI1C1,NO085,1414070.0,75806.0
FI1C1,NO092,1664671.0,84327.0
FI1C1,NO094,1475436.0,77699.0
FI1C1,NO0A1,1738454.0,93248.0
FI1C1,NO0A2,1564372.0,83357.0
FI1C1,NO0A3,1350393.0,73532.0
FI1C1,SE11+,421306.0,38189.0
FI1C1,SE21+,632735.0,46639.0
FI1C1,SE22+,818451.0,52992.0
FI1C1,SE232,707031.0,49391.0
FI1C1,SE311,679405.0,48799.0
FI1C1,SE312,1005178.0,55712.0
FI1C1,SE313,845350.0,47656.0
FI1C1,SE321,653557.0,39983.0
FI1C1,SE322,820134.0,47506.0
FI1C1,SE331,627197.0,38944.0
FI1D7,DK02,2052945.0,80812.0
FI1D7,DK03,2210333.0,86075.0
FI1D7,DK04,2267120.0,88850.0
FI1D7,DK050,1840788.0,87657.0
FI1D7,FI19+,698488.0,30085.0
FI1D7,FI196,903575.0,39315.0
FI1D7,FI198,725862.0,30674.0
FI1D7,FI19B,854975.0,37050.0
FI1D7,FI1B+,989697.0,40906.0
FI1D7,FI1C-,911175.0,38611.0
FI1D7,FI1C1,1033148.0,43177.0
FI1D7,FI1D8,491677.0,21186.0
FI1D7,FI1D9,418719.0,19028.0
